Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   â‚¹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TATAMOTORS,23-May-2024,30-May-2024,952.00,966.00,947.85,964.85,964.75,964.85,16158.00,220462.92,57750975.00,-4763775.00,962.35
TATAMOTORS,23-May-2024,27-Jun-2024,952.75,966.00,948.30,965.00,964.60,965.00,6731.00,91892.11,24306225.00,481650.00,962.35
TATAMOTORS,23-May-2024,25-Jul-2024,957.00,971.50,956.00,970.90,970.90,970.90,718.00,3811.17,1599400.00,-68750.00,962.35
TATAMOTORS,24-May-2024,30-May-2024,964.00,973.80,960.40,963.00,961.55,963.00,13394.00,184839.86,54802650.00,-2948325.00,960.55
TATAMOTORS,24-May-2024,27-Jun-2024,964.60,973.80,950.05,963.55,961.75,963.55,7577.00,104611.41,27419850.00,3113625.00,960.55
TATAMOTORS,24-May-2024,25-Jul-2024,970.90,979.90,968.00,970.35,969.85,970.35,674.00,3615.55,1606550.00,7150.00,960.55
TATAMOTORS,27-May-2024,30-May-2024,964.90,967.65,954.00,961.25,961.60,961.25,15137.00,207727.80,43711875.00,-11090775.00,958.50
TATAMOTORS,27-May-2024,27-Jun-2024,965.55,968.95,954.40,961.65,962.50,961.65,13903.00,190848.92,36887550.00,9467700.00,958.50
TATAMOTORS,27-May-2024,25-Jul-2024,975.45,975.45,961.00,968.40,968.95,968.40,527.00,2809.89,1633500.00,26950.00,958.50
TATAMOTORS,28-May-2024,30-May-2024,958.40,963.75,947.70,951.15,950.75,951.15,15448.00,210260.81,31331475.00,-12380400.00,947.55
TATAMOTORS,28-May-2024,27-Jun-2024,962.00,964.35,948.40,951.30,951.25,951.30,15886.00,216292.75,49595700.00,12708150.00,947.55
TATAMOTORS,28-May-2024,25-Jul-2024,967.85,969.95,955.75,958.00,957.10,958.00,676.00,3576.52,1732500.00,99000.00,947.55
TATAMOTORS,29-May-2024,30-May-2024,946.35,954.00,941.60,947.70,946.30,947.70,19846.00,267955.20,16713825.00,-14617650.00,943.60
TATAMOTORS,29-May-2024,27-Jun-2024,947.10,953.80,942.05,946.15,945.80,946.15,21635.00,292001.17,64670775.00,15075075.00,943.60
TATAMOTORS,29-May-2024,25-Jul-2024,955.00,960.00,931.65,953.20,953.35,953.20,815.00,4276.17,1850200.00,117700.00,943.60
TATAMOTORS,30-May-2024,30-May-2024,946.05,951.35,920.75,923.35,926.20,923.95,18856.00,250790.33,5222625.00,-11491200.00,923.95
TATAMOTORS,30-May-2024,27-Jun-2024,945.85,951.65,922.65,924.75,929.10,924.75,28046.00,373054.45,75520725.00,10849950.00,923.95
TATAMOTORS,30-May-2024,25-Jul-2024,953.95,960.50,929.85,931.85,935.75,931.85,1877.00,9702.26,2254450.00,404250.00,923.95
TATAMOTORS,31-May-2024,27-Jun-2024,931.00,936.40,922.25,924.80,925.70,924.80,13549.00,179352.39,75845625.00,324900.00,923.00
TATAMOTORS,31-May-2024,25-Jul-2024,938.90,943.60,929.45,931.65,932.00,931.65,1895.00,9763.76,2399650.00,145200.00,923.00
TATAMOTORS,31-May-2024,29-Aug-2024,945.00,951.00,937.00,938.45,939.05,938.45,295.00,1537.65,147950.00,147950.00,923.00
TATAMOTORS,03-Jun-2024,27-Jun-2024,945.00,963.45,935.20,951.75,952.70,951.75,20346.00,274597.11,74940750.00,-904875.00,950.45
TATAMOTORS,03-Jun-2024,25-Jul-2024,963.65,965.30,942.55,958.80,959.50,958.80,2594.00,13600.22,2301200.00,-98450.00,950.45
TATAMOTORS,03-Jun-2024,29-Aug-2024,958.45,968.05,949.90,965.75,965.95,965.75,285.00,1505.11,205700.00,57750.00,950.45
TATAMOTORS,04-Jun-2024,27-Jun-2024,947.95,947.95,841.90,900.05,902.70,900.05,37156.00,476929.22,72702075.00,-2238675.00,903.90
TATAMOTORS,04-Jun-2024,25-Jul-2024,950.65,955.00,862.95,906.95,911.00,906.95,7237.00,36184.05,2648250.00,347050.00,903.90
TATAMOTORS,04-Jun-2024,29-Aug-2024,949.15,950.90,869.20,915.40,918.20,915.40,642.00,3220.26,213950.00,8250.00,903.90
TATAMOTORS,05-Jun-2024,27-Jun-2024,918.15,931.65,885.05,927.95,926.30,927.95,22635.00,294989.62,69686775.00,-3015300.00,929.95
TATAMOTORS,05-Jun-2024,25-Jul-2024,922.80,938.00,893.00,934.65,931.70,934.65,3448.00,17437.91,2717550.00,69300.00,929.95
TATAMOTORS,05-Jun-2024,29-Aug-2024,926.35,943.65,900.85,940.95,940.00,940.95,307.00,1566.34,182050.00,-31900.00,929.95
TATAMOTORS,06-Jun-2024,27-Jun-2024,935.15,943.75,929.20,934.90,936.40,934.90,15638.00,208718.05,69723825.00,37050.00,938.25
TATAMOTORS,06-Jun-2024,25-Jul-2024,938.90,951.00,934.75,941.35,942.40,941.35,2336.00,12124.49,2891350.00,173800.00,938.25
TATAMOTORS,06-Jun-2024,29-Aug-2024,943.40,957.55,943.40,948.05,948.90,948.05,260.00,1358.36,213950.00,31900.00,938.25
TATAMOTORS,07-Jun-2024,27-Jun-2024,934.35,971.65,932.00,968.55,968.30,968.55,24084.00,328338.42,69068325.00,-655500.00,970.50
TATAMOTORS,07-Jun-2024,25-Jul-2024,948.35,977.70,938.60,974.70,974.55,974.70,4480.00,23696.17,3106400.00,215050.00,970.50
TATAMOTORS,07-Jun-2024,29-Aug-2024,948.05,983.60,946.70,981.85,982.95,981.85,465.00,2478.34,204050.00,-9900.00,970.50
TATAMOTORS,10-Jun-2024,27-Jun-2024,968.00,979.80,965.05,970.75,970.05,970.75,12216.00,169230.00,69837825.00,769500.00,975.15
TATAMOTORS,10-Jun-2024,25-Jul-2024,982.25,985.75,971.60,976.90,976.50,976.90,2892.00,15555.44,3302750.00,196350.00,975.15
TATAMOTORS,10-Jun-2024,29-Aug-2024,985.00,991.95,979.00,983.35,983.80,983.35,416.00,2254.59,277200.00,73150.00,975.15
TATAMOTORS,11-Jun-2024,27-Jun-2024,974.95,996.75,968.00,991.05,990.20,991.05,23649.00,332865.50,69634050.00,-203775.00,987.10
TATAMOTORS,11-Jun-2024,25-Jul-2024,979.70,1003.15,974.55,997.85,997.55,997.85,5353.00,29298.48,3528250.00,225500.00,987.10
TATAMOTORS,11-Jun-2024,29-Aug-2024,979.75,1009.95,979.70,1004.90,1004.10,1004.90,533.00,2934.44,321200.00,44000.00,987.10
TATAMOTORS,12-Jun-2024,27-Jun-2024,994.00,1012.25,990.55,992.90,993.15,992.90,24587.00,350475.03,72491175.00,2857125.00,988.70
TATAMOTORS,12-Jun-2024,25-Jul-2024,1002.85,1019.00,997.25,999.60,1000.30,999.60,8621.00,47715.00,4980250.00,1452000.00,988.70
TATAMOTORS,12-Jun-2024,29-Aug-2024,1011.30,1026.00,1006.00,1007.10,1008.10,1007.10,906.00,5046.99,578050.00,256850.00,988.70
TATAMOTORS,13-Jun-2024,27-Jun-2024,1002.50,1004.85,982.60,989.40,989.60,989.40,13588.00,191854.71,74578800.00,2087625.00,985.85
TATAMOTORS,13-Jun-2024,25-Jul-2024,1008.20,1011.50,989.90,996.00,996.10,996.00,5233.00,28706.31,5965850.00,985600.00,985.85
TATAMOTORS,13-Jun-2024,29-Aug-2024,1016.80,1019.35,999.00,1004.15,1004.00,1004.15,444.00,2456.98,686950.00,108900.00,985.85
TATAMOTORS,14-Jun-2024,27-Jun-2024,988.05,998.30,984.40,994.20,992.85,994.20,12901.00,182323.44,72776175.00,-1802625.00,993.40
TATAMOTORS,14-Jun-2024,25-Jul-2024,999.10,1004.80,991.00,1001.95,999.50,1001.95,4555.00,25031.11,6382750.00,416900.00,993.40
TATAMOTORS,14-Jun-2024,29-Aug-2024,1006.70,1011.20,999.70,1008.85,1006.50,1008.85,332.00,1837.71,696850.00,9900.00,993.40
TATAMOTORS,18-Jun-2024,27-Jun-2024,999.80,1003.40,986.00,988.60,988.80,988.60,13084.00,185203.87,73621200.00,845025.00,985.90
TATAMOTORS,18-Jun-2024,25-Jul-2024,1004.50,1010.50,993.00,995.30,995.50,995.30,7896.00,43405.41,8385850.00,2003100.00,985.90
TATAMOTORS,18-Jun-2024,29-Aug-2024,1012.00,1018.00,1000.40,1003.15,1003.45,1003.15,437.00,2422.11,814550.00,117700.00,985.90
TATAMOTORS,19-Jun-2024,27-Jun-2024,994.60,995.90,975.50,977.45,977.25,977.45,14638.00,205285.69,73772250.00,151050.00,977.35
TATAMOTORS,19-Jun-2024,25-Jul-2024,999.95,1002.45,982.60,984.40,984.35,984.40,7424.00,40439.17,9599700.00,1213850.00,977.35
TATAMOTORS,19-Jun-2024,29-Aug-2024,1006.50,1010.00,990.00,991.70,992.65,991.70,484.00,2655.00,938300.00,123750.00,977.35
TATAMOTORS,20-Jun-2024,27-Jun-2024,982.15,988.20,977.70,979.30,980.35,979.30,10675.00,149461.76,71406750.00,-2365500.00,978.25
TATAMOTORS,20-Jun-2024,25-Jul-2024,987.15,994.90,985.00,985.65,987.05,985.65,8139.00,44271.71,11260700.00,1661000.00,978.25
TATAMOTORS,20-Jun-2024,29-Aug-2024,994.30,1001.75,992.00,993.20,994.20,993.20,702.00,3847.29,1062600.00,124300.00,978.25
TATAMOTORS,21-Jun-2024,27-Jun-2024,982.35,982.35,958.40,962.15,958.85,962.15,17525.00,241688.46,67254300.00,-4152450.00,961.80
TATAMOTORS,21-Jun-2024,25-Jul-2024,989.40,989.40,965.00,968.05,965.60,968.05,19000.00,101823.61,16058350.00,4797650.00,961.80
TATAMOTORS,21-Jun-2024,29-Aug-2024,992.10,992.10,972.00,974.25,973.75,974.25,1128.00,6089.92,1281500.00,218900.00,961.80
TATAMOTORS,24-Jun-2024,27-Jun-2024,959.40,963.90,949.55,959.85,960.15,959.85,17843.00,243787.13,55006425.00,-12247875.00,958.05
TATAMOTORS,24-Jun-2024,25-Jul-2024,966.70,970.30,956.15,965.55,966.60,965.55,34518.00,183243.70,27665550.00,11607200.00,958.05
TATAMOTORS,24-Jun-2024,29-Aug-2024,973.75,976.80,963.40,972.40,973.40,972.40,719.00,3842.23,1422850.00,141350.00,958.05
TATAMOTORS,25-Jun-2024,27-Jun-2024,961.60,962.50,948.45,954.80,955.40,954.80,17538.00,238285.66,42054600.00,-12951825.00,955.00
TATAMOTORS,25-Jun-2024,25-Jul-2024,966.65,968.90,954.60,960.85,961.90,960.85,38268.00,201963.68,40142300.00,12476750.00,955.00
TATAMOTORS,25-Jun-2024,29-Aug-2024,974.00,975.40,961.75,967.50,967.90,967.50,1155.00,6136.08,1597200.00,174350.00,955.00
TATAMOTORS,26-Jun-2024,27-Jun-2024,956.30,962.55,950.25,952.60,952.05,952.60,16027.00,218664.82,27518175.00,-14536425.00,951.85
TATAMOTORS,26-Jun-2024,25-Jul-2024,963.05,968.75,956.20,958.65,959.15,958.65,42185.00,223565.81,51545450.00,11403150.00,951.85
TATAMOTORS,26-Jun-2024,29-Aug-2024,969.35,974.95,963.50,965.50,965.80,965.50,1318.00,7028.93,1920600.00,323400.00,951.85
TATAMOTORS,27-Jun-2024,27-Jun-2024,953.95,972.75,945.80,970.05,971.55,972.10,23832.00,324046.69,4584225.00,-22933950.00,972.10
TATAMOTORS,27-Jun-2024,25-Jul-2024,960.40,978.00,952.25,975.50,977.45,975.50,82177.00,434725.97,70030950.00,18485500.00,972.10
TATAMOTORS,27-Jun-2024,29-Aug-2024,964.00,984.50,959.15,981.85,983.00,981.85,2306.00,12284.42,2346300.00,425700.00,972.10
TATAMOTORS,28-Jun-2024,25-Jul-2024,977.00,1002.60,974.70,993.25,992.85,993.25,54488.00,297671.74,64861500.00,-5169450.00,989.75
TATAMOTORS,28-Jun-2024,29-Aug-2024,986.45,1009.20,981.85,1000.50,999.35,1000.50,3091.00,17006.24,2464000.00,117700.00,989.75
TATAMOTORS,28-Jun-2024,26-Sep-2024,1000.50,1015.00,995.70,1007.20,1006.40,1007.20,124.00,688.25,46750.00,46750.00,989.75
TATAMOTORS,01-Jul-2024,25-Jul-2024,994.95,1010.30,991.25,1005.80,1004.95,1005.80,26889.00,148068.79,63857750.00,-1003750.00,1002.05
TATAMOTORS,01-Jul-2024,29-Aug-2024,1000.15,1016.55,998.70,1012.20,1011.40,1012.20,2361.00,13092.31,2672450.00,208450.00,1002.05
TATAMOTORS,01-Jul-2024,26-Sep-2024,1009.70,1024.20,1006.00,1019.25,1018.00,1019.25,159.00,888.88,84700.00,37950.00,1002.05
TATAMOTORS,02-Jul-2024,25-Jul-2024,1003.00,1008.30,982.95,985.40,986.65,985.40,30375.00,165608.29,63741700.00,-116050.00,981.30
TATAMOTORS,02-Jul-2024,29-Aug-2024,1005.20,1014.70,989.00,991.35,992.95,991.35,3158.00,17303.36,3165250.00,492800.00,981.30
TATAMOTORS,02-Jul-2024,26-Sep-2024,1013.35,1020.00,996.75,998.40,999.65,998.40,324.00,1788.97,199100.00,114400.00,981.30
TATAMOTORS,03-Jul-2024,25-Jul-2024,990.00,990.00,977.15,981.30,982.65,981.30,15880.00,85704.16,64339000.00,597300.00,975.65
TATAMOTORS,03-Jul-2024,29-Aug-2024,994.95,995.00,983.30,986.70,988.50,986.70,2024.00,10981.38,3583250.00,418000.00,975.65
TATAMOTORS,03-Jul-2024,26-Sep-2024,1001.05,1001.05,990.55,993.65,995.50,993.65,167.00,912.67,245300.00,46200.00,975.65
TATAMOTORS,04-Jul-2024,25-Jul-2024,983.95,1009.50,983.00,1003.85,1008.40,1003.85,42508.00,233395.13,63412250.00,-926750.00,998.20
TATAMOTORS,04-Jul-2024,29-Aug-2024,989.70,1014.95,989.70,1009.90,1013.05,1009.90,4105.00,22630.13,4044150.00,460900.00,998.20
TATAMOTORS,04-Jul-2024,26-Sep-2024,998.35,1021.85,998.35,1017.80,1020.00,1017.80,394.00,2189.35,266200.00,20900.00,998.20
TATAMOTORS,05-Jul-2024,25-Jul-2024,1007.00,1009.95,995.05,998.75,998.00,998.75,22824.00,125724.53,63994150.00,581900.00,993.65
TATAMOTORS,05-Jul-2024,29-Aug-2024,1013.90,1015.10,1000.90,1004.20,1003.85,1004.20,3115.00,17251.50,4521550.00,477400.00,993.65
TATAMOTORS,05-Jul-2024,26-Sep-2024,1008.95,1020.00,1007.00,1011.00,1010.50,1011.00,215.00,1198.18,321750.00,55550.00,993.65
TATAMOTORS,08-Jul-2024,25-Jul-2024,1008.95,1021.30,1001.45,1006.75,1006.70,1006.75,40587.00,225626.03,62260550.00,-1733600.00,1002.60
TATAMOTORS,08-Jul-2024,29-Aug-2024,1010.00,1027.00,1007.30,1012.35,1012.15,1012.35,3717.00,20776.95,4751450.00,229900.00,1002.60
